,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Maoyan_link,TotalWechatClicks,TotalWeiboClicks,Resource
246,96,Blade Runner 2049,Sony,"$11,651,565 ",27-Oct,43,https://www.boxofficemojo.com//movies/?page=intl&id=bladerunnersequel.htm,5,https://movie.douban.com/subject/10512661/,10512661,8.3,2017,tt1856101,https://www.imdb.com/title/tt1856101/?ref_=nv_sr_1,164,"$150,000,000 ",USA,1,5,Mystery,19,https://piaofang.maoyan.com/movie/247784,,,6715.3万
247,96,Blade Runner 2049,Sony,"$11,651,565 ",27-Oct,43,https://www.boxofficemojo.com//movies/?page=intl&id=bladerunnersequel.htm,5,https://movie.douban.com/subject/10512661/,10512661,8.3,2017,tt1856101,https://www.imdb.com/title/tt1856101/?ref_=nv_sr_1,164,"$150,000,000 ",USA,1,5,Sci-Fi,21,https://piaofang.maoyan.com/movie/247784,,,6715.3万
248,96,Blade Runner 2049,Sony,"$11,651,565 ",27-Oct,43,https://www.boxofficemojo.com//movies/?page=intl&id=bladerunnersequel.htm,5,https://movie.douban.com/subject/10512661/,10512661,8.3,2017,tt1856101,https://www.imdb.com/title/tt1856101/?ref_=nv_sr_1,164,"$150,000,000 ",USA,1,5,Thriller,24,https://piaofang.maoyan.com/movie/247784,,,6715.3万
249,97,77 Heartbreaks,,"$11,077,852 ",23-Jun,25,https://www.boxofficemojo.com//movies/intl/?id=_f77HEARTBREAKS01&country=CH&wk=2017W25&id=_f77HEARTBREAKS01&p=.htm,5,https://movie.douban.com/subject/26857793/,26857793,6.5,2017,tt6608132,https://www.imdb.com/title/tt6608132/?ref_=nv_sr_1,97,,Hong,1,3,Comedy,6,https://piaofang.maoyan.com/movie/1163084,,,
250,97,77 Heartbreaks,,"$11,077,852 ",23-Jun,25,https://www.boxofficemojo.com//movies/intl/?id=_f77HEARTBREAKS01&country=CH&wk=2017W25&id=_f77HEARTBREAKS01&p=.htm,5,https://movie.douban.com/subject/26857793/,26857793,6.5,2017,tt6608132,https://www.imdb.com/title/tt6608132/?ref_=nv_sr_1,97,,Hong,1,3,Drama,12,https://piaofang.maoyan.com/movie/1163084,,,
251,97,77 Heartbreaks,,"$11,077,852 ",23-Jun,25,https://www.boxofficemojo.com//movies/intl/?id=_f77HEARTBREAKS01&country=CH&wk=2017W25&id=_f77HEARTBREAKS01&p=.htm,5,https://movie.douban.com/subject/26857793/,26857793,6.5,2017,tt6608132,https://www.imdb.com/title/tt6608132/?ref_=nv_sr_1,97,,Hong,1,3,Romance,20,https://piaofang.maoyan.com/movie/1163084,,,
252,98,Battle of Xiangjiang,,"$11,037,772 ",30-Jun,26,https://www.boxofficemojo.com//movies/intl/?id=_fBATTLEOFXIANGJIA01&country=CH&wk=2017W26&id=_fBATTLEOFXIANGJIA01&p=.htm,14,https://movie.douban.com/subject/26916202/,26916202,4.8,2017,tt7735492,https://www.imdb.com/title/tt7735492/?ref_=nv_sr_1,,,China,1,3,Drama,12,https://piaofang.maoyan.com/movie/1197625,,1139,
253,98,Battle of Xiangjiang,,"$11,037,772 ",30-Jun,26,https://www.boxofficemojo.com//movies/intl/?id=_fBATTLEOFXIANGJIA01&country=CH&wk=2017W26&id=_fBATTLEOFXIANGJIA01&p=.htm,14,https://movie.douban.com/subject/26916202/,26916202,4.8,2017,tt7735492,https://www.imdb.com/title/tt7735492/?ref_=nv_sr_1,,,China,1,3,History,15,https://piaofang.maoyan.com/movie/1197625,,1139,
254,98,Battle of Xiangjiang,,"$11,037,772 ",30-Jun,26,https://www.boxofficemojo.com//movies/intl/?id=_fBATTLEOFXIANGJIA01&country=CH&wk=2017W26&id=_fBATTLEOFXIANGJIA01&p=.htm,14,https://movie.douban.com/subject/26916202/,26916202,4.8,2017,tt7735492,https://www.imdb.com/title/tt7735492/?ref_=nv_sr_1,,,China,1,3,War,25,https://piaofang.maoyan.com/movie/1197625,,1139,
255,99,Loving Vincent,,"$10,831,329 ",8-Dec,49,https://www.boxofficemojo.com//movies/?page=intl&id=lovingvincent.htm,8,https://movie.douban.com/subject/25837262/,25837262,8.5,2017,tt3262342,https://www.imdb.com/title/tt3262342/?ref_=nv_sr_1,94,"&euro;5,000,000",Poland,0,1,Animation,3,,,,
256,99,Loving Vincent,,"$10,831,329 ",8-Dec,49,https://www.boxofficemojo.com//movies/?page=intl&id=lovingvincent.htm,8,https://movie.douban.com/subject/25837262/,25837262,8.5,2017,tt3262342,https://www.imdb.com/title/tt3262342/?ref_=nv_sr_1,94,"&euro;5,000,000",Poland,0,1,Biography,4,,,,
257,99,Loving Vincent,,"$10,831,329 ",8-Dec,49,https://www.boxofficemojo.com//movies/?page=intl&id=lovingvincent.htm,8,https://movie.douban.com/subject/25837262/,25837262,8.5,2017,tt3262342,https://www.imdb.com/title/tt3262342/?ref_=nv_sr_1,94,"&euro;5,000,000",Poland,0,1,Crime,8,,,,
258,99,Loving Vincent,,"$10,831,329 ",8-Dec,49,https://www.boxofficemojo.com//movies/?page=intl&id=lovingvincent.htm,8,https://movie.douban.com/subject/25837262/,25837262,8.5,2017,tt3262342,https://www.imdb.com/title/tt3262342/?ref_=nv_sr_1,94,"&euro;5,000,000",Poland,0,1,Drama,12,,,,
259,99,Loving Vincent,,"$10,831,329 ",8-Dec,49,https://www.boxofficemojo.com//movies/?page=intl&id=lovingvincent.htm,8,https://movie.douban.com/subject/25837262/,25837262,8.5,2017,tt3262342,https://www.imdb.com/title/tt3262342/?ref_=nv_sr_1,94,"&euro;5,000,000",Poland,0,1,Mystery,19,,,,
260,100,Wished,,"$10,238,078 ",30-Jun,26,https://www.boxofficemojo.com//movies/intl/?id=_fWISHED01&country=CH&wk=2017W26&id=_fWISHED01&p=.htm,6,https://movie.douban.com/subject/25827741/,25827741,5.1,2017,tt3308358,https://www.imdb.com/title/tt3308358/?ref_=nv_sr_1,110,,China,1,3,Comedy,6,https://piaofang.maoyan.com/movie/265879,,,
