,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number
54,21,Now You See Me 2,Leomus,"$97,115,220 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=nowyouseeme2.htm,5,https://movie.douban.com/subject/25662337/,25662337,6.6,2016,tt3110958,https://www.imdb.com/title/tt3110958/?ref_=nv_sr_1,129,"$90,000,000 ",France,1,3,Crime,8
55,21,Now You See Me 2,Leomus,"$97,115,220 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=nowyouseeme2.htm,5,https://movie.douban.com/subject/25662337/,25662337,6.6,2016,tt3110958,https://www.imdb.com/title/tt3110958/?ref_=nv_sr_1,129,"$90,000,000 ",France,1,3,Mystery,19
56,21,Now You See Me 2,Leomus,"$97,115,220 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=nowyouseeme2.htm,5,https://movie.douban.com/subject/25662337/,25662337,6.6,2016,tt3110958,https://www.imdb.com/title/tt3110958/?ref_=nv_sr_1,129,"$90,000,000 ",France,1,3,Thriller,24
57,22,Batman v Superman: Dawn of Justice,,"$95,769,365 ",25-Mar,12,https://www.boxofficemojo.com//movies/?page=intl&id=superman2015.htm,5,https://movie.douban.com/subject/24750534/,24750534,6.7,2016,tt2975590,https://www.imdb.com/title/tt2975590/?ref_=nv_sr_1,151,"$250,000,000 ",USA,0,2,Fantasy,14
57,22,Batman v Superman: Dawn of Justice,,"$95,769,365 ",25-Mar,12,https://www.boxofficemojo.com//movies/?page=intl&id=superman2015.htm,5,https://movie.douban.com/subject/24750534/,24750534,6.7,2016,tt2975590,https://www.imdb.com/title/tt2975590/?ref_=nv_sr_1,151,"$250,000,000 ",USA,0,2,Adventure,2
57,22,Batman v Superman: Dawn of Justice,,"$95,769,365 ",25-Mar,12,https://www.boxofficemojo.com//movies/?page=intl&id=superman2015.htm,5,https://movie.douban.com/subject/24750534/,24750534,6.7,2016,tt2975590,https://www.imdb.com/title/tt2975590/?ref_=nv_sr_1,151,"$250,000,000 ",USA,0,2,Action,1
58,23,Some Like It Hot (2016),,"$95,620,411 ",30-Dec,52,https://www.boxofficemojo.com//movies/?page=intl&id=qingshung.htm,7,https://movie.douban.com/subject/27000951/,27000951,0,2019,tt5735874,https://www.imdb.com/title/tt5735874/?ref_=fn_al_tt_1,13,,UK,0,1,Short,
59,24,Line Walker,HuaXia,"$87,941,104 ",11-Aug,32,https://www.boxofficemojo.com//movies/intl/?id=_fLINEWALKER01&country=CH&wk=2016W32&id=_fLINEWALKER01&p=.htm,7,https://movie.douban.com/subject/26336253/,26336253,6.7,2016,tt5896962,https://www.imdb.com/title/tt5896962/?ref_=nv_sr_1,109,,China,0,4,Action,1
60,24,Line Walker,HuaXia,"$87,941,104 ",11-Aug,32,https://www.boxofficemojo.com//movies/intl/?id=_fLINEWALKER01&country=CH&wk=2016W32&id=_fLINEWALKER01&p=.htm,7,https://movie.douban.com/subject/26336253/,26336253,6.7,2016,tt5896962,https://www.imdb.com/title/tt5896962/?ref_=nv_sr_1,109,,China,0,4,Crime,8
61,24,Line Walker,HuaXia,"$87,941,104 ",11-Aug,32,https://www.boxofficemojo.com//movies/intl/?id=_fLINEWALKER01&country=CH&wk=2016W32&id=_fLINEWALKER01&p=.htm,7,https://movie.douban.com/subject/26336253/,26336253,6.7,2016,tt5896962,https://www.imdb.com/title/tt5896962/?ref_=nv_sr_1,109,,China,0,4,Mystery,19
62,24,Line Walker,HuaXia,"$87,941,104 ",11-Aug,32,https://www.boxofficemojo.com//movies/intl/?id=_fLINEWALKER01&country=CH&wk=2016W32&id=_fLINEWALKER01&p=.htm,7,https://movie.douban.com/subject/26336253/,26336253,6.7,2016,tt5896962,https://www.imdb.com/title/tt5896962/?ref_=nv_sr_1,109,,China,0,4,Thriller,24
63,25,Fantastic Beasts and Where To Find Them,WB,"$85,963,412 ",25-Nov,47,https://www.boxofficemojo.com//movies/?page=intl&id=fantasticbeasts.htm,9,https://movie.douban.com/subject/25726614/,25726614,7.8,2016,tt3183660,https://www.imdb.com/title/tt3183660/?ref_=nv_sr_1,133,"$180,000,000 ",USA,1,5,Adventure,2
64,26,Big Fish & Begonia (Da Hai),BeijEnl,"$85,023,628 ",8-Jul,27,https://www.boxofficemojo.com//movies/intl/?id=_fBIGFISHBEGONIA01&country=CH&wk=2016W27&id=_fBIGFISHBEGONIA01&p=.htm,6,https://movie.douban.com/subject/1291545/,1291545,8.8,2003,tt0319061,,100,,China,0,4,Adventure,2
65,27,Your Name (Kimi no na wa.),,"$83,678,210 ",2-Dec,48,https://www.boxofficemojo.com//movies/?page=intl&id=yourname.htm,9,https://movie.douban.com/subject/26683290/,26683290,8.4,2016,,,106,,Japan,0,1,Animation,3
66,28,The Angry Birds Movie,Sony,"$75,872,971 ",20-May,20,https://www.boxofficemojo.com//movies/?page=intl&id=angrybirds.htm,9,https://movie.douban.com/subject/6873736/,6873736,7.1,2016,tt1985949,https://www.imdb.com/title/tt1985949/?ref_=nv_sr_1,97,,USA,1,3,Animation,3
67,29,Independence Day: Resurgence,Fox,"$75,359,650 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=id42.htm,5,https://movie.douban.com/subject/4811813/,4811813,5.6,2016,tt1628841,https://www.imdb.com/title/tt1628841/?ref_=nv_sr_1,120,"$165,000,000 ",USA,1,3,Action,1
68,29,Independence Day: Resurgence,Fox,"$75,359,650 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=id42.htm,5,https://movie.douban.com/subject/4811813/,4811813,5.6,2016,tt1628841,https://www.imdb.com/title/tt1628841/?ref_=nv_sr_1,120,"$165,000,000 ",USA,1,3,Adventure,2
69,29,Independence Day: Resurgence,Fox,"$75,359,650 ",24-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=id42.htm,5,https://movie.douban.com/subject/4811813/,4811813,5.6,2016,tt1628841,https://www.imdb.com/title/tt1628841/?ref_=nv_sr_1,120,"$165,000,000 ",USA,1,3,Sci-Fi,21
70,30,I Am Not Madame Bovary,,"$70,174,367 ",18-Nov,46,https://www.boxofficemojo.com//movies/?page=intl&id=iamnotmadamebovary.htm,24,https://movie.douban.com/subject/26630781/,26630781,6.7,2016,tt5918090,https://www.imdb.com/title/tt5918090/?ref_=nv_sr_1,128,,china,1,5,Comedy,6
71,31,See You Tomorrow,,"$70,065,569 ",23-Dec,51,https://www.boxofficemojo.com//movies/intl/?id=_fSEEYOUTOMORROW01&country=CH&wk=2016W52&id=_fSEEYOUTOMORROW01&p=.htm,1,https://movie.douban.com/subject/25911694/,25911694,4,2016,tt3824950,https://www.imdb.com/title/tt3824950/?ref_=nv_sr_1,128,,China,0,1,Comedy,6
72,32,Jason Bourne,UPI,"$66,904,818 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=bourne5.htm,4,https://movie.douban.com/subject/26266072/,26266072,7.3,2016,tt4196776,https://www.imdb.com/title/tt4196776/?ref_=nv_sr_1,123,,USA,0,4,Action,1
73,33,Ice Age: Collision Course,Fox,"$66,059,140 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=iceage5.htm,9,https://movie.douban.com/subject/25797778/,25797778,6.7,2016,tt3416828,https://www.imdb.com/title/tt3416828/?ref_=nv_sr_1,94,"$105,000,000 ",USA,0,4,Animation,3
74,33,Ice Age: Collision Course,Fox,"$66,059,140 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=iceage5.htm,9,https://movie.douban.com/subject/25797778/,25797778,6.7,2016,tt3416828,https://www.imdb.com/title/tt3416828/?ref_=nv_sr_1,94,"$105,000,000 ",USA,0,4,Adventure,2
75,33,Ice Age: Collision Course,Fox,"$66,059,140 ",23-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=iceage5.htm,9,https://movie.douban.com/subject/25797778/,25797778,6.7,2016,tt3416828,https://www.imdb.com/title/tt3416828/?ref_=nv_sr_1,94,"$105,000,000 ",USA,0,4,Comedy,6
